"","PureNYHAClass","variable","mean","sd","sem","n"
"1","II","Handedness",NA,NA,NA,0
"2","III","Handedness",NA,NA,NA,0
"4","II","WristbandPreference",NA,NA,NA,0
"5","III","WristbandPreference",NA,NA,NA,0
"7","II","NYHAClassMixed",NA,NA,NA,0
"8","III","NYHAClassMixed",NA,NA,NA,0
"10","II","EjectionFraction",31,9.64365076099295,5.56776436283002,3
"11","III","EjectionFraction",NA,NA,NA,0
"13","II","HFDiagnosisYear",13999.6,17890.1357131055,3578.0271426211,25
"14","III","HFDiagnosisYear",16563.625,20109.5364508448,7109.79479545522,8
"16","II","HFTreatmentsToDate",NA,NA,NA,0
"17","III","HFTreatmentsToDate",NA,NA,NA,0
"19","II","RegularPhysicalActivities",NA,NA,NA,0
"20","III","RegularPhysicalActivities",NA,NA,NA,0
"22","II","Exercises",NA,NA,NA,0
"23","III","Exercises",NA,NA,NA,0
"25","II","DeviceID",NA,NA,NA,0
"26","III","DeviceID",NA,NA,NA,0
"28","II","ID",28.9615384615385,14.5037395708301,2.84441734968193,26
"29","III","ID",27.1818181818182,17.7359419361825,5.34758770053152,11
"31","II","CPSDate",NA,NA,NA,0
"32","III","CPSDate",NA,NA,NA,0
"34","II","Sex",NA,NA,NA,0
"35","III","Sex",NA,NA,NA,0
"37","II","Age",54.9615384615385,13.9956586675462,2.74477448659239,26
"38","III","Age",57.8181818181818,12.8593793148673,3.87724874766111,11
"40","II","Height",173.961538461538,7.97737184406378,1.56449133461796,26
"41","III","Height",175.272727272727,9.52985738708517,2.87336011441438,11
"43","II","Weight",87.6230769230769,18.6859585291696,3.66461796809313,26
"44","III","Weight",94.3545454545455,17.4408350509007,5.25860962675607,11
"46","II","SBP.Resting",112.192307692308,14.6205861189468,2.86733284310282,26
"47","III","SBP.Resting",101.818181818182,17.0869434470778,5.15190729345265,11
"49","II","DBP.Resting",69.2692307692308,8.34533494741915,1.63665483632146,26
"50","III","DBP.Resting",64.6363636363636,11.4041459765537,3.43847938715179,11
"52","II","HR.Resting",67,12.3353151560874,2.41915433412333,26
"53","III","HR.Resting",69.3636363636364,13.0940652760915,3.94800922738336,11
"55","II","O2Sat.Resting",98.48,1.0847426730182,0.21694853460364,25
"56","III","O2Sat.Resting",98.0909090909091,1.57826141399614,0.475863721029178,11
"58","II","FEV.Resting",2.526,0.771864625436352,0.15437292508727,25
"59","III","FEV.Resting",2.58363636363636,0.877453961496245,0.264562323735818,11
"61","II","FEV.Resting.Percentage",70.08,23.2538885637076,4.65077771274153,25
"62","III","FEV.Resting.Percentage",74.2727272727273,16.395675704837,4.94348222702637,11
"64","II","FVC.Resting",3.2812,0.945124859476249,0.18902497189525,25
"65","III","FVC.Resting",3.35818181818182,0.953433984938844,0.287471162765046,11
"67","II","FVC.Resting.Percentage",72.8,17.0904456739236,3.41808913478472,25
"68","III","FVC.Resting.Percentage",73.3636363636364,12.6828445332483,3.82402150829042,11
"70","II","SBP",134.115384615385,18.5565663269408,3.639242069475,26
"71","III","SBP",116.818181818182,20.2623699592036,6.10933441073156,11
"73","II","DBP",73.6538461538462,9.33356226825453,1.83046215912166,26
"74","III","DBP",69.5454545454545,11.0214666570619,3.32309723098972,11
"76","II","HR",109.692307692308,18.2049866372249,3.57029161953484,26
"77","III","HR",95.6363636363636,19.3611607465706,5.83760960928471,11
"79","II","HR.1min",90.28,14.6529860438069,2.93059720876138,25
"80","III","HR.1min",82.8181818181818,12.2296212682011,3.68736955225212,11
"82","II","HR.1minDrop",23.4,15.1079449297381,3.02158898594763,25
"83","III","HR.1minDrop",12.8181818181818,8.71571203996761,2.62788605612324,11
"85","II","O2Sat",98.12,1.39403491108843,0.278806982217686,25
"86","III","O2Sat",98.1818181818182,1.60113596038449,0.482760656267336,11
"88","II","Duration",9.95782051282052,2.79432900986706,0.548013005719636,26
"89","III","Duration",7.71212121212122,2.29609681983593,0.692299239429457,11
"91","II","Watts",94.4,29.022979401387,5.8045958802774,25
"92","III","Watts",73.6363636363636,23.3549683248457,7.0417879021953,11
"94","II","Watts.Predicted.Percentage",59.92,20.2852984531491,4.05705969062982,25
"95","III","Watts.Predicted.Percentage",47.1818181818182,11.7372755085512,3.53892172026293,11
"97","II","TestEnd.Reason",NA,NA,NA,0
"98","III","TestEnd.Reason",NA,NA,NA,0
"100","II","TestEnd.Symptom",NA,NA,NA,0
"101","III","TestEnd.Symptom",NA,NA,NA,0
"103","II","VO2.perBodyWeight",14.3807692307692,3.28670281355272,0.644575453141756,26
"104","III","VO2.perBodyWeight",12.3363636363636,2.98907100192442,0.901238816828635,11
"106","II","VO2.Predicted.Relative",29.2307692307692,5.63969993746258,1.10603615507422,26
"107","III","VO2.Predicted.Relative",28.8909090909091,5.59847381800693,1.68800336845068,11
"109","II","VO2.Predicted.Relative.Percentage",50.5,13.2249763704893,2.59363125307417,26
"110","III","VO2.Predicted.Relative.Percentage",42.9090909090909,8.11732154660077,2.44746453388565,11
"112","II","VO2",1.26411538461538,0.409159756273569,0.0802428300544537,26
"113","III","VO2",1.14590909090909,0.375833062554495,0.113317932027585,11
"115","II","VO2.Predicted.Absolute",2.32880769230769,0.556932456890835,0.109223440978444,26
"116","III","VO2.Predicted.Absolute",2.32881818181818,0.61441546500423,0.185253232982797,11
"118","II","VO2.Predicted.Absolute.Percentage",55.8076923076923,16.6901629249549,3.27321024766876,26
"119","III","VO2.Predicted.Absolute.Percentage",49.4545454545455,8.91474774027439,2.68789757774171,11
"121","II","VE.Peak",45.4864,13.1992092187373,2.63984184374746,25
"122","III","VE.Peak",42.4545454545455,13.6789154275011,4.12434818291137,11
"124","II","VCO2.Peak",1.40638461538462,0.465413972882042,0.0912751896009337,26
"125","III","VCO2.Peak",1.14718181818182,0.40602729420122,0.122421835409881,11
"127","II","VEperVCO2.Peak",33.3846153846154,6.4997041352783,1.27469685455245,26
"128","III","VEperVCO2.Peak",37.5454545454545,6.05580112559249,1.82589273987293,11
"130","II","VEperVCO2.atAT",32.9615384615385,4.7284734892417,0.927329945813445,26
"131","III","VEperVCO2.atAT",38.7272727272727,5.83251076451487,1.75856816287316,11
"133","II","AT",9.58076923076923,2.52254145349792,0.494711080585869,26
"134","III","AT",8.1,1.38162545173751,0.436908330074958,10
"136","II","VO2.Peak.Measured.Percentage",66.1538461538462,7.01821805128514,1.37638579977508,26
"137","III","VO2.Peak.Measured.Percentage",64.4,6.83455273672763,2.16127534365964,10
"139","II","VO2.Peak.Predicted.Percentage",33.6153846153846,9.78192996530612,1.91839429898823,26
"140","III","VO2.Peak.Predicted.Percentage",28,4.76095228569523,1.50554530541816,10
"142","II","RER.Peak",1.11615384615385,0.0823687767580373,0.0161538461538462,26
"143","III","RER.Peak",1.00290909090909,0.0826141084143072,0.0249090909090909,11
"145","II","RPEper20.Peak",16.3333333333333,0.816496580927726,0.333333333333333,6
"146","III","RPEper20.Peak",16,NA,NA,1
"148","II","PETCO2.Peak",32.5,1.91485421551268,0.957427107756338,4
"149","III","PETCO2.Peak",30,1.4142135623731,1,2
"151","II","OUES",1.22633333333333,0.251563775876682,0.145240413720761,3
"152","III","OUES",1.209,0.231931024229188,0.164,2
"154","II","TotalRiskScore",8.33333333333333,2.88675134594813,1.66666666666667,3
"155","III","TotalRiskScore",11.5,4.94974746830583,3.5,2
"157","II","StepData.LongestActiveStreak",46.7692307692308,32.4657452615001,6.36705648506621,26
"158","III","StepData.LongestActiveStreak",37.1818181818182,32.5785763403442,9.8228103568065,11
"160","II","StepData.HighestValuedStreak",3244.61538461538,2296.16276560566,450.314567238787,26
"161","III","StepData.HighestValuedStreak",2098,2278.41910104353,686.969206667294,11
"163","II","StepData.MeanDailyTotalSteps",5463.82072023812,2227.62017121275,436.872258534104,26
"164","III","StepData.MeanDailyTotalSteps",3834.87730690362,2309.10524946511,696.221428537799,11
"166","II","StepData.StdDevDailyTotalSteps",2855.57107618268,1302.82340772942,255.504691491453,26
"167","III","StepData.StdDevDailyTotalSteps",1744.73117161327,1100.68354107307,331.868574423557,11
"169","II","StepData.MeanDailyMeanSteps",3.79431994460981,1.54695845223107,0.303383512870905,26
"170","III","StepData.MeanDailyMeanSteps",2.66310924090529,1.60354531212855,0.48348710315125,11
"172","II","StepData.StdDevDailyMeanSteps",1.9830354695713,0.904738477589877,0.177433813535731,26
"173","III","StepData.StdDevDailyMeanSteps",1.21161886917589,0.764363570189637,0.230464287794137,11
"175","II","StepData.ModeDailyModeSteps",0,0,0,26
"176","III","StepData.ModeDailyModeSteps",0,0,0,11
"178","II","StepData.MeanDailyMinSteps",0,0,0,26
"179","III","StepData.MeanDailyMinSteps",0,0,0,11
"181","II","StepData.MeanDailyMaxSteps",95.096869767911,17.9031091204797,3.51108856766564,26
"182","III","StepData.MeanDailyMaxSteps",80.6526477177793,23.1097264609446,6.96784469806374,11
"184","II","StepData.ModeDailyMinSteps",0,0,0,26
"185","III","StepData.ModeDailyMinSteps",0,0,0,11
"187","II","StepData.ModeDailyMaxSteps",92.8461538461538,41.9701725587992,8.23102803331438,26
"188","III","StepData.ModeDailyMaxSteps",65,42.2279528274815,12.7322068357803,11
"190","II","StepData.MaxDailyMaxSteps",125.538461538462,18.3198925089221,3.59282651499678,26
"191","III","StepData.MaxDailyMaxSteps",112.909090909091,15.4107400565615,4.64651295539226,11
"193","II","StepData.StdDevDailyMaxSteps",26.2055596307268,13.2920014980026,2.60677596203923,26
"194","III","StepData.StdDevDailyMaxSteps",21.4468839402402,10.7053078438678,3.22777176212345,11
"196","II","StepData.TotalActiveMinutes_Pure",2985.07692307692,944.257715799111,185.184173796931,26
"197","III","StepData.TotalActiveMinutes_Pure",2308.72727272727,955.053201754655,287.959375004344,11
"199","II","StepData.MeanActiveMinutes_Pure",191.926396054289,70.3067451420921,13.7882871314124,26
"200","III","StepData.MeanActiveMinutes_Pure",149.856997607655,70.6213868727047,21.2931493119356,11
